score,name,category,phone,website,status,gaps,rating,reviews,city,slug,verify_on_google,failing
70,Havn,furniture,,https://www.seattle-meditation.org/,live,8,,,Seattle,havn,https://www.google.com/maps/search/?api=1&query=Havn%205651%20University%20Way%20Northeast%20Seattle%20CA,speed phoneTap address services reviews seo meta social
69,"D. Andrew Lewis, DDS",dentist,+1-206-632-0675,http://www.seattlegeneraldentistry.com/,live,7,,,Seattle,d-andrew-lewis-dds,https://www.google.com/maps/search/?api=1&query=D.%20Andrew%20Lewis%2C%20DDS%202101%20North%2034th%20Street%20Seattle%20CA,speed address services reviews seo meta social
69,Brown Bear Car Wash,car wash,+1-206-789-3700,https://www.brownbear.com/,live,6,,,Seattle,brown-bear-car-wash,https://www.google.com/maps/search/?api=1&query=Brown%20Bear%20Car%20Wash%203977%20Leary%20Way%20Northwest%20Seattle%20CA,speed services reviews seo meta social
69,14th Avenue Hair,hairdresser,+1-206-992-3403,https://14thavehair.com,live,8,,,Seattle,14th-avenue-hair,https://www.google.com/maps/search/?api=1&query=14th%20Avenue%20Hair%201511%2014th%20Avenue%20Seattle%20WA,speed phoneTap hours address services reviews seo meta
69,Salon Divas,hairdresser,+1-206-256-0155,http://www.salondivas.com/,live,8,,,Seattle,salon-divas,https://www.google.com/maps/search/?api=1&query=Salon%20Divas%202518%204th%20Avenue%20Seattle%20WA,speed phoneTap hours address services reviews seo meta
69,North Coast Electric,electrician,+1-206-436-4444,https://www.northcoastelectric.com/,live,7,,,Seattle,north-coast-electric,https://www.google.com/maps/search/?api=1&query=North%20Coast%20Electric%202424%208th%20Avenue%20South%20Seattle%20WA,speed phoneTap hours address reviews seo social
69,Salumi Artisan Cured Meats,butcher,+1-206-621-8772,https://salumicuredmeats.com/,live,9,,,Seattle,salumi-artisan-cured-meats,https://www.google.com/maps/search/?api=1&query=Salumi%20Artisan%20Cured%20Meats%20404%20Occidental%20Avenue%20South%20Seattle%20WA,speed phoneTap hours address services reviews cta seo meta
69,Gairson Law,lawyer,+1-206-357-4218,https://gairson.com/,live,8,,,Seattle,gairson-law,https://www.google.com/maps/search/?api=1&query=Gairson%20Law%204606%20Martin%20Luther%20King%20Junior%20Way%20South%20Seattle%20WA,phoneTap hours address services reviews seo meta social
68,The Yoga Tree,fitness centre,,https://www.yogatree.com/,© 2017,5,,,Seattle,the-yoga-tree,https://www.google.com/maps/search/?api=1&query=The%20Yoga%20Tree%204250%20Fremont%20Avenue%20North%20Seattle%20CA,speed phoneTap hours reviews seo
64,Parkside Dental,dentist,,https://www.parksidedentalfremont.com,live,8,,,Seattle,parkside-dental,https://www.google.com/maps/search/?api=1&query=Parkside%20Dental%20601%20North%2034th%20Street%20Seattle%20WA,phoneTap address services reviews cta seo meta social
63,Rudy's Barbershop,hairdresser,+1-206-547-0818,https://rudysbarbershop.com/pages/locations,live,6,,,Seattle,rudy-s-barbershop,https://www.google.com/maps/search/?api=1&query=Rudy's%20Barbershop%20475%20North%2036th%20Street%20Seattle%20CA,speed phoneTap hours address reviews seo
63,Live Urban Real Estate,estate agent,+1-303-455-5483,https://www.liveurbandenver.com/,live,6,,,Denver,live-urban-real-estate,https://www.google.com/maps/search/?api=1&query=Live%20Urban%20Real%20Estate%203627%20West%2032nd%20Avenue%20Denver%20CO,speed phoneTap hours address reviews seo
63,Maricopa County Office of the Legal Advocate,lawyer,+1-602-506-4111,https://www.maricopa.gov/,live,7,,,Phoenix,maricopa-county-office-of-the-legal-advocate,https://www.google.com/maps/search/?api=1&query=Maricopa%20County%20Office%20of%20the%20Legal%20Advocate%20222%20North%20Central%20Avenue%20Phoenix%20AZ,speed hours address services reviews seo social
63,Pacific Rim Automotive,car repair,+1-206-632-1175,https://www.pacrimauto.com/,live,6,,,Seattle,pacific-rim-automotive,https://www.google.com/maps/search/?api=1&query=Pacific%20Rim%20Automotive%203810%20Stone%20Way%20North%20Seattle%20CA,speed phoneTap address services reviews meta
63,Sembhi Integrative,doctors,+1-206-946-1564,https://www.drsembhi.com,live,7,,,Seattle,sembhi-integrative,https://www.google.com/maps/search/?api=1&query=Sembhi%20Integrative%206204%208th%20Avenue%20Northwest%20Seattle%20CA,speed phoneTap hours address services reviews seo
63,Scream Salon,hairdresser,+1-206-861-8468,https://screamseattle.com,live,5,,,Seattle,scream-salon,https://www.google.com/maps/search/?api=1&query=Scream%20Salon%20723%20East%20Pike%20Street%20Seattle%20WA,speed services reviews seo meta
63,Marcelo Alonso Brazilian Jiu-Jitsu,fitness centre,+1-206-618-6024,https://www.mabjj.com/,live,6,,,Seattle,marcelo-alonso-brazilian-jiu-jitsu,https://www.google.com/maps/search/?api=1&query=Marcelo%20Alonso%20Brazilian%20Jiu-Jitsu%204211%20Winslow%20Place%20North%20Seattle%20WA,speed phoneTap hours services reviews meta
63,La Parisienne,bakery,+1-206-728-1874,https://www.laparisienneseattle.com/,live,4,,,Seattle,la-parisienne,https://www.google.com/maps/search/?api=1&query=La%20Parisienne%202507%204th%20Avenue%20Seattle%20WA,speed services seo social
63,Rudy's Barbershop,hairdresser,+1-206-448-8900,https://rudysbarbershop.com/,live,6,,,Seattle,rudy-s-barbershop,https://www.google.com/maps/search/?api=1&query=Rudy's%20Barbershop%2089%20Wall%20Street%20Seattle%20WA,speed phoneTap hours address reviews seo
63,Fuji Bakery,bakery,+1-206-216-3616,http://fujibakeryinc.com/,live,7,,,Seattle,fuji-bakery,https://www.google.com/maps/search/?api=1&query=Fuji%20Bakery%201030%20Elliott%20Avenue%20West%20Seattle%20WA,speed phoneTap hours address reviews cta seo
63,Columbia City Bakery,bakery,+1-206-723-6023,https://www.columbiacitybakery.com,live,5,,,Seattle,columbia-city-bakery,https://www.google.com/maps/search/?api=1&query=Columbia%20City%20Bakery%204865%20Rainier%20Avenue%20South%20Seattle%20WA,speed services reviews seo meta
63,& Fitness,fitness centre,+1-206-462-4308,https://www.ampersandfitnessgym.com/first-hill-gym-seattle,live,6,,,Seattle,and-fitness,https://www.google.com/maps/search/?api=1&query=%26%20Fitness%20504%209th%20Avenue%20Seattle%20WA,speed phoneTap hours services reviews seo
63,Row House,fitness centre,+1-206-338-6007,https://www.therowhouse.com/,live,7,,,Seattle,row-house,https://www.google.com/maps/search/?api=1&query=Row%20House%20419%20Fairview%20Avenue%20North%20Seattle%20WA,speed phoneTap hours address services reviews seo
63,Ernest Jonson & Co,accountant,+1-206-285-2100,http://www.ejcpa.com/,live,7,,,Seattle,ernest-jonson-and-co,https://www.google.com/maps/search/?api=1&query=Ernest%20Jonson%20%26%20Co%20216%20Queen%20Anne%20Avenue%20North%20Seattle%20WA,speed phoneTap hours address services reviews social
63,Lotus Yoga,fitness centre,+1-206-725-7894,https://www.lotusyoga.biz/,live,8,,,Seattle,lotus-yoga,https://www.google.com/maps/search/?api=1&query=Lotus%20Yoga%204860%20Rainier%20Avenue%20South%20Seattle%20CA,speed phoneTap hours address services reviews cta social
63,Eye Clinics of Seattle,optician,+1-206-282-8120,https://ecseattle.com/roosevelt,live,5,,,Seattle,eye-clinics-of-seattle,https://www.google.com/maps/search/?api=1&query=Eye%20Clinics%20of%20Seattle%206618%20Roosevelt%20Way%20Northeast%20Seattle%20WA,speed services reviews seo social
63,Dao's Hair Cuts,hairdresser,+1-206-525-0898,https://calendly.com/daoshaircut,live,8,,,Seattle,dao-s-hair-cuts,https://www.google.com/maps/search/?api=1&query=Dao's%20Hair%20Cuts%202254%20Northeast%2065th%20Street%20Seattle%20WA,speed phoneTap hours address services reviews cta seo
63,H2O2,hairdresser,+1-206-329-3333,http://www.h2o2seattle.com,live,6,,,Seattle,h2o2,https://www.google.com/maps/search/?api=1&query=H2O2%202821%20Northeast%2055th%20Street%20Seattle%20CA,phoneTap hours services reviews seo social
63,Sassafras Sugaring Studio,beauty,+1-206-484-7206,https://www.sassafrassugaringstudio.com/,live,7,,,Seattle,sassafras-sugaring-studio,https://www.google.com/maps/search/?api=1&query=Sassafras%20Sugaring%20Studio%202918%20Northeast%2055th%20Street%20Seattle%20CA,speed hours address services reviews seo meta
58,Argentum Coffee And Bakery,caterer,,https://www.ohsunbanchan.com/,live,7,,,Seattle,argentum-coffee-and-bakery,https://www.google.com/maps/search/?api=1&query=Argentum%20Coffee%20And%20Bakery%20221%201st%20Avenue%20South%20Seattle%20WA,speed phoneTap address services reviews cta meta
58,Open Flight Studio,fitness centre,,http://www.openflightstudio.org/,live,7,,,Seattle,open-flight-studio,https://www.google.com/maps/search/?api=1&query=Open%20Flight%20Studio%204205%20University%20Way%20Northeast%20Seattle%20CA,speed phoneTap hours services reviews cta meta
58,Kati Vegan Thai,caterer,,https://www.kativeganthai.com/,live,8,,,Seattle,kati-vegan-thai,https://www.google.com/maps/search/?api=1&query=Kati%20Vegan%20Thai%201190%20Thomas%20Street%20Seattle%20WA,speed phoneTap hours address services reviews cta seo
58,GOGO Salon,hairdresser,,https://www.gogosalonseattle.com,live,8,,,Seattle,gogo-salon,https://www.google.com/maps/search/?api=1&query=GOGO%20Salon%204214%20Stone%20Way%20North%20Seattle%20CA,speed phoneTap hours address services reviews cta meta
58,Sea Level,fitness centre,,https://sealevelhotyoga.com,live,6,,,Seattle,sea-level,https://www.google.com/maps/search/?api=1&query=Sea%20Level%20215%20North%2036th%20Street%20Seattle%20CA,speed hours address reviews seo social
58,Blu Dot,furniture,,https://www.bludot.com/blu-dot-seattle,live,4,,,Seattle,blu-dot,https://www.google.com/maps/search/?api=1&query=Blu%20Dot%20401%20East%20Pine%20Street%20Seattle%20WA,speed reviews seo meta
58,Strength Studio,fitness centre,,https://www.strength-studio.com/,live,6,,,Seattle,strength-studio,https://www.google.com/maps/search/?api=1&query=Strength%20Studio%202925%20Fuhrman%20Avenue%20East%20Seattle%20CA,speed phoneTap hours services cta meta
58,Noah Salon,hairdresser,,https://www.noahsalon.com,live,8,,,Seattle,noah-salon,https://www.google.com/maps/search/?api=1&query=Noah%20Salon%205522%20Roosevelt%20Way%20Northeast%20Seattle%20CA,speed phoneTap hours address services reviews cta social
58,Refine Nails - Spa,beauty,,https://www.refinenailsandspa.com,live,8,,,Seattle,refine-nails-spa,https://www.google.com/maps/search/?api=1&query=Refine%20Nails%20-%20Spa%20910%20Dexter%20Avenue%20North%20Seattle%20WA,speed phoneTap hours address services reviews cta meta
58,Honest Buck,accountant,,https://www.honestbuck.com/,live,6,,,Seattle,honest-buck,https://www.google.com/maps/search/?api=1&query=Honest%20Buck%20911%208th%20Avenue%20North%20Seattle%20WA,speed phoneTap hours address reviews meta
58,Queen Anne Orthodontics,dentist,,https://www.queenanneorthodontics.com,live,6,,,Seattle,queen-anne-orthodontics,https://www.google.com/maps/search/?api=1&query=Queen%20Anne%20Orthodontics%201955%206th%20Avenue%20West%20Seattle%20CA,speed hours services reviews seo social
58,Batch Baking Company,bakery,,https://www.batchbakingco.com,live,7,,,Seattle,batch-baking-company,https://www.google.com/maps/search/?api=1&query=Batch%20Baking%20Company%20808%2012th%20Avenue%20Seattle%20CA,speed phoneTap hours address services reviews meta
58,Pemco Insurance,insurance,,https://www.pemco.com/,live,7,,,Seattle,pemco-insurance,https://www.google.com/maps/search/?api=1&query=Pemco%20Insurance%20325%20Eastlake%20Avenue%20East%20Seattle%20WA,speed hours address services reviews seo meta
58,Zary Bakery,bakery,,https://www.zarybakery.com/,live,4,,,Seattle,zary-bakery,https://www.google.com/maps/search/?api=1&query=Zary%20Bakery%202114%20Northeast%2065th%20Street%20Seattle%20CA,speed reviews seo meta
