score,name,category,phone,website,status,gaps,rating,reviews,city,slug,verify_on_google,failing
85,Revive Lash & Nail,beauty,+1-619-466-6854,http://revivelashandnail.com/,© 1999,10,,,San Diego,revive-lash-and-nail,https://www.google.com/maps/search/?api=1&query=Revive%20Lash%20%26%20Nail%203755%20Murphy%20Canyon%20Road%20San%20Diego%20CA,speed phoneTap hours address services reviews cta seo meta social
85,Kids Hair Salon,hairdresser,+1-619-464-4466,https://www.kidshairsalon.net/,© 2022,9,,,La Mesa,kids-hair-salon,https://www.google.com/maps/search/?api=1&query=Kids%20Hair%20Salon%205500%20Grossmont%20Center%20Drive%20La%20Mesa%20CA,speed phoneTap hours services reviews cta seo meta social
85,Palm Dental Group,dentist,+1-619-460-1991,https://www.palmdentalgroup.com,© 1999,10,,,Lemon Grove,palm-dental-group,https://www.google.com/maps/search/?api=1&query=Palm%20Dental%20Group%207733%20Palm%20Street%20Lemon%20Grove%20CA,speed phoneTap hours address services reviews cta seo meta social
83,Le Parfait Paris,bakery,+1-619-245-4457,https://www.leparfaitparis.com/,live,9,,,San Diego,le-parfait-paris,https://www.google.com/maps/search/?api=1&query=Le%20Parfait%20Paris%20555%20G%20Street%20San%20Diego%20CA,https phoneTap hours address reviews cta seo meta social
81,Sweet Revenge,bakery,+1-619-621-0668,https://www.sweetrevengesd.com,live,6,,,San Diego,sweet-revenge,https://www.google.com/maps/search/?api=1&query=Sweet%20Revenge%203319%20Palm%20Avenue%20San%20Diego%20CA,mobile speed services reviews seo meta
81,Eichman Insurance Agency,insurance,+1-760-230-6157,https://eichmaninsurance.com,live,7,,,Rancho Santa Fe,eichman-insurance-agency,https://www.google.com/maps/search/?api=1&query=Eichman%20Insurance%20Agency%2016236%20San%20Dieguito%20Road%20Rancho%20Santa%20Fe%20CA,mobile speed hours services reviews seo meta
80,Hale Holistic,fitness centre,,http://www.haleholistic.com/,© 1999,10,,,,hale-holistic,https://www.google.com/maps/search/?api=1&query=Hale%20Holistic%20San%20Diego%20CA,speed phoneTap hours address services reviews cta seo meta social
79,Lumiere Salon,hairdresser,+1 858-524-6132,https://lumieresalonrb.com,© 2022,5,,,San Diego,lumiere-salon,https://www.google.com/maps/search/?api=1&query=Lumiere%20Salon%2011828%20Rancho%20Bernardo%20Road%20San%20Diego%20CA,speed reviews seo meta social
79,True Line,car repair,+1-619-258-1800,https://www.truelinewheel.com/,© 2017,6,,,El Cajon,true-line,https://www.google.com/maps/search/?api=1&query=True%20Line%20210%20West%20Bradley%20Avenue%20El%20Cajon%20CA,phoneTap services reviews seo meta social
79,Impression Dental Group,dentist,+1-858-578-4677,https://www.impressiondentalgroup.com,© 2012,7,,,San Diego,impression-dental-group,https://www.google.com/maps/search/?api=1&query=Impression%20Dental%20Group%208270%20Mira%20Mesa%20Boulevard%20San%20Diego%20CA,phoneTap hours services reviews seo meta social
77,Paradise Nails and Spa,beauty,+1-619-469-8899,https://www.paradisenails.com/,live,6,,,La Mesa,paradise-nails-and-spa,https://www.google.com/maps/search/?api=1&query=Paradise%20Nails%20and%20Spa%205500%20Grossmont%20Center%20Drive%20La%20Mesa%20CA,https phoneTap services reviews seo social
75,Crow Salon,hairdresser,+1-619-460-0364,https://www.crowsalon.com/,live,5,,,La Mesa,crow-salon,https://www.google.com/maps/search/?api=1&query=Crow%20Salon%204689%20Date%20Avenue%20La%20Mesa%20CA,mobile speed phoneTap services reviews
75,Valerio's City Bakery,bakery,+1-619-477-8588,https://www.valeriosbakery.com/,live,7,,,National City,valerio-s-city-bakery,https://www.google.com/maps/search/?api=1&query=Valerio's%20City%20Bakery%201631%20East%208th%20Street%20National%20City%20CA,speed phoneTap services reviews seo meta social
75,Mesa Rim Climbing & Fitness Center • Mission Valley,fitness centre,+1-619-908-1911,https://mesarim.com/,live,10,,,,mesa-rim-climbing-and-fitness-center-mission-val,https://www.google.com/maps/search/?api=1&query=Mesa%20Rim%20Climbing%20%26%20Fitness%20Center%20%E2%80%A2%20Mission%20Valley%20405%20Camino%20del%20Rio%20South%20San%20Diego%20CA,speed phoneTap hours address services reviews cta seo meta social
75,Valerio's City Bakery,bakery,+1-858-527-1834,https://www.valeriosbakery.com/,live,7,,,San Diego,valerio-s-city-bakery,https://www.google.com/maps/search/?api=1&query=Valerio's%20City%20Bakery%209396%20Mira%20Mesa%20Boulevard%20San%20Diego%20CA,speed phoneTap services reviews seo meta social
75,Feldman Feldman & Associates PC,lawyer,+1 619 373 9350,https://immigrateme.com/,live,6,,,San Diego,feldman-feldman-and-associates-pc,https://www.google.com/maps/search/?api=1&query=Feldman%20Feldman%20%26%20Associates%20PC%202221%20Camino%20del%20Rio%20South%20San%20Diego%20CA,mobile speed hours address services meta
75,Lashbar,beauty,+1 858-769-9591,https://www.lashbar.com/delsur,live,4,,,,lashbar,https://www.google.com/maps/search/?api=1&query=Lashbar%2016445%20San%20Diego%20CA,mobile speed reviews seo
74,Spa Hans,massage,,https://spahans.online/,© 2022,8,,,San Diego,spa-hans,https://www.google.com/maps/search/?api=1&query=Spa%20Hans%2010066%20Pacific%20Heights%20Boulevard%20San%20Diego%20CA,speed phoneTap hours address services reviews seo meta
73,Chula Vista Smiles,dentist,+1-619-427-1315,https://chulavista-smiles.com/,© 2021,5,,,Chula Vista,chula-vista-smiles,https://www.google.com/maps/search/?api=1&query=Chula%20Vista%20Smiles%20222%203rd%20Avenue%20Chula%20Vista%20CA,speed services reviews seo social
73,Gracie Jui Jitsu,fitness centre,+1-858-505-9917,https://www.thegraciesandiego.com/,© 2019,6,,,San Diego,gracie-jui-jitsu,https://www.google.com/maps/search/?api=1&query=Gracie%20Jui%20Jitsu%205375%20Kearny%20Villa%20Road%20San%20Diego%20CA,speed hours services reviews seo social
69,La Jolla Colony Dental,dentist,+1-858-546-8600,https://lajollacolonydental.com,live,8,,,San Diego,la-jolla-colony-dental,https://www.google.com/maps/search/?api=1&query=La%20Jolla%20Colony%20Dental%207748%20Regents%20Road%20San%20Diego%20CA,phoneTap hours services reviews cta seo meta social
69,New York Furniture Outlets,furniture,+1 877 390 1797,https://nyfurnitureoutlets.com/,live,7,,,San Diego,new-york-furniture-outlets,https://www.google.com/maps/search/?api=1&query=New%20York%20Furniture%20Outlets%20401%20University%20Avenue%20San%20Diego%20CA,speed phoneTap hours address reviews seo social
69,Kingston and Kingston,lawyer,+1-619-421-1133,https://www.kingstonandkingston.com/,live,8,,,,kingston-and-kingston,https://www.google.com/maps/search/?api=1&query=Kingston%20and%20Kingston%20San%20Diego%20CA,phoneTap hours address services reviews seo meta social
69,Student Health Services,doctors,+1 619 594 4325,https://shs.sdsu.edu/,live,6,,,San Diego,student-health-services,https://www.google.com/maps/search/?api=1&query=Student%20Health%20Services%205500%20Campanile%20Drive%20San%20Diego%20CA,speed phoneTap services reviews seo meta
69,Balboa Florist,florist,+1-858-429-8558,https://balboaflorist.com/,live,6,,,San Diego,balboa-florist,https://www.google.com/maps/search/?api=1&query=Balboa%20Florist%205925%20Balboa%20Avenue%20San%20Diego%20CA,speed phoneTap services reviews seo social
69,Pearl Cosmetic DDS,dentist,+1-858-513-1747,https://www.pearlcosmeticdds.com/,live,5,,,San Diego,pearl-cosmetic-dds,https://www.google.com/maps/search/?api=1&query=Pearl%20Cosmetic%20DDS%2013522%20Sabre%20Springs%20Parkway%20San%20Diego%20CA,speed phoneTap address seo meta
69,cupCAKES a la Yola,bakery,+1-858-668-7234,https://cupcakesalayola.com/,live,6,,,Poway,cupcakes-a-la-yola,https://www.google.com/maps/search/?api=1&query=cupCAKES%20a%20la%20Yola%2013339%20Poway%20Road%20Poway%20CA,speed phoneTap hours reviews seo meta
69,Portal Salon,hairdresser,+1-619-354-5411,https://theportalsalon.com/,live,5,,,San Diego,portal-salon,https://www.google.com/maps/search/?api=1&query=Portal%20Salon%20511%20Ivy%20Lane%20San%20Diego%20CA,speed services seo meta social
69,David Cravens Insurance Services,insurance,+1-858-277-4878,https://davidcravens.myhomehq.biz,live,8,,,San Diego,david-cravens-insurance-services,https://www.google.com/maps/search/?api=1&query=David%20Cravens%20Insurance%20Services%205222%20Balboa%20Avenue%20San%20Diego%20CA,speed phoneTap hours services reviews cta seo meta
69,Urban Cutz,hairdresser,+1-619-866-8710,https://placejuice.com/urban-cutz-barber-shop-pcrpmtq,live,6,,,,urban-cutz,https://www.google.com/maps/search/?api=1&query=Urban%20Cutz%207907%20Broadway%20San%20Diego%20CA,speed address reviews seo meta social
69,Love & Bake,bakery,+1-619-415-4259,https://www.loveandbake.com/,live,5,,,San Diego,love-and-bake,https://www.google.com/maps/search/?api=1&query=Love%20%26%20Bake%206426%20Skyline%20Drive%20San%20Diego%20CA,speed hours seo meta social
63,Because We Care Dog and Cat Grooming,pet grooming,+1 858-538-1015,https://www.becausewecarepetgrooming.com,live,4,,,San Diego,because-we-care-dog-and-cat-grooming,https://www.google.com/maps/search/?api=1&query=Because%20We%20Care%20Dog%20and%20Cat%20Grooming%209926%20Carmel%20Mountain%20Road%20San%20Diego%20CA,speed reviews seo meta
63,Safety Auto Repair,car repair,+1-619-265-2099,http://www.safetyautorepair.com,live,7,,,San Diego,safety-auto-repair,https://www.google.com/maps/search/?api=1&query=Safety%20Auto%20Repair%206517%20El%20Cajon%20Blvd%20San%20Diego%20CA,speed phoneTap hours address reviews cta social
63,Jose Aroeste Farmers Insurance Agency,insurance,+1-858-746-5353,https://sandiegoinsuranceagents.com/,live,7,,,Poway,jose-aroeste-farmers-insurance-agency,https://www.google.com/maps/search/?api=1&query=Jose%20Aroeste%20Farmers%20Insurance%20Agency%2013412%20Pomerado%20Road%20Poway%20CA,speed phoneTap hours address reviews cta social
63,Del Mar Endodontics,dentist,+1-858-792-8201,https://www.delmarendo.com/,live,7,,,San Diego,del-mar-endodontics,https://www.google.com/maps/search/?api=1&query=Del%20Mar%20Endodontics%2012750%20Carmel%20Country%20Road%20San%20Diego%20CA,speed phoneTap hours address reviews cta social
63,Sun Valley Dental Care,dentist,+1-619-413-1121,https://sunvalleydentalcare.com,live,6,,,El Cajon,sun-valley-dental-care,https://www.google.com/maps/search/?api=1&query=Sun%20Valley%20Dental%20Care%201209%20East%20Main%20Street%20El%20Cajon%20CA,speed hours services reviews meta social
63,Helix Mechanical Inc,plumber,+1-619-447-6675,https://helixmechanical.com/,live,7,,,El Cajon,helix-mechanical-inc,https://www.google.com/maps/search/?api=1&query=Helix%20Mechanical%20Inc%201100%20North%20Magnolia%20Avenue%20El%20Cajon%20CA,hours address services reviews seo meta social
63,West Coast Air Conditioning Co,hvac,+1-619-561-8000,https://www.wcac.com/,live,6,,,El Cajon,west-coast-air-conditioning-co,https://www.google.com/maps/search/?api=1&query=West%20Coast%20Air%20Conditioning%20Co%201155%20Pioneer%20Way%20El%20Cajon%20CA,speed phoneTap hours services reviews meta
63,Who's Next Barbershop,hairdresser,+1-858-587-7979,https://whosnextlajolla.com/,live,5,,,La Jolla,who-s-next-barbershop,https://www.google.com/maps/search/?api=1&query=Who's%20Next%20Barbershop%203251%20Holiday%20Court%20La%20Jolla%20CA,speed phoneTap hours reviews meta
63,EverSun,beauty,+1 858-451-0588,https://eversunwellness.com/location/eversun-carmel-mountain/,live,4,,,San Diego,eversun,https://www.google.com/maps/search/?api=1&query=EverSun%2011835%20Carmel%20Mountain%20Road%20San%20Diego%20CA,speed phoneTap reviews meta
63,Studio Mani,beauty,+1-858-513-3655,https://www.studiomanipoway.com/,live,5,,,Poway,studio-mani,https://www.google.com/maps/search/?api=1&query=Studio%20Mani%2012307%20Poway%20Road%20Poway%20CA,speed services reviews seo social
63,Coconuts Hair Salon & Day Spa,hairdresser,+1-619-697-6166,https://coconutssalon.com/,live,6,,,La Mesa,coconuts-hair-salon-and-day-spa,https://www.google.com/maps/search/?api=1&query=Coconuts%20Hair%20Salon%20%26%20Day%20Spa%208380%20Center%20Drive%20La%20Mesa%20CA,phoneTap services reviews cta seo social
63,Jerome's Furniture,furniture,+1 858 924 1871,https://www.jeromes.com/locations/san-diego,live,7,,,,jerome-s-furniture,https://www.google.com/maps/search/?api=1&query=Jerome's%20Furniture%201190%20West%20Morena%20Boulevard%20San%20Diego%20CA,phoneTap hours services reviews cta meta social
63,Flower Cart Florist,florist,+1 619 461 1661,https://www.yourfloristelcajonca.com/,live,3,,,El Cajon,flower-cart-florist,https://www.google.com/maps/search/?api=1&query=Flower%20Cart%20Florist%202816%20Fletcher%20Parkway%20El%20Cajon%20CA,speed seo social
63,Hunter's Nursery,garden centre,+1-619-463-9341,https://www.huntersnursery.com,live,6,,,Lemon Grove,hunter-s-nursery,https://www.google.com/maps/search/?api=1&query=Hunter's%20Nursery%203110%20Sweetwater%20Road%20Lemon%20Grove%20CA,phoneTap services reviews cta meta social
63,The Dental Orchid,dentist,+1-858-538-5280,https://thedentalorchid.com/,live,4,,,San Diego,the-dental-orchid,https://www.google.com/maps/search/?api=1&query=The%20Dental%20Orchid%2013295%20Black%20Mountain%20Road%20San%20Diego%20CA,speed services seo meta
63,Fade&cut,hairdresser,+1-619-536-6920,https://www.fadeandcut.com/,live,5,,,,fade-and-cut,https://www.google.com/maps/search/?api=1&query=Fade%26cut%208725%20Ariva%20Way%20San%20Diego%20CA,speed phoneTap reviews cta meta
58,Milwaukee Factory Service Center,hardware,,https://www.milwaukeetool.com/Support/Find-A-Service-Center,live,7,,,San Diego,milwaukee-factory-service-center,https://www.google.com/maps/search/?api=1&query=Milwaukee%20Factory%20Service%20Center%204229%20Ponderosa%20Avenue%20San%20Diego%20CA,phoneTap hours address services reviews seo social
58,Kindley | Hamparyan attorneys at law,lawyer,,https://www.kindleylawyers.com/,live,5,,,,kindley-hamparyan-attorneys-at-law,https://www.google.com/maps/search/?api=1&query=Kindley%20%7C%20Hamparyan%20attorneys%20at%20law%20275%20West%20Market%20Street%20San%20Diego%20CA,speed hours reviews meta social
58,Aqua Tots Swim Schools,fitness centre,,https://www.aqua-tots.com/,live,7,,,,aqua-tots-swim-schools,https://www.google.com/maps/search/?api=1&query=Aqua%20Tots%20Swim%20Schools%20San%20Diego%20CA,speed phoneTap hours address services reviews seo
58,The Honey Baked Ham Co.,butcher,,https://shophoneybaked.com/,live,6,,,Chula Vista,the-honey-baked-ham-co,https://www.google.com/maps/search/?api=1&query=The%20Honey%20Baked%20Ham%20Co.%20316%20East%20H%20Street%20Chula%20Vista%20CA,speed phoneTap hours address reviews seo
58,Swagyu Chop Shop,butcher,,https://www.swagyuchopshop.com/pages/locations#poway,live,8,,,,swagyu-chop-shop,https://www.google.com/maps/search/?api=1&query=Swagyu%20Chop%20Shop%20San%20Diego%20CA,speed phoneTap hours address services reviews cta seo
58,Darshan,bakery,,https://www.darshanbakery.com/,live,7,,,Del Mar,darshan,https://www.google.com/maps/search/?api=1&query=Darshan%20915%20Camino%20del%20Mar%20Del%20Mar%20CA,phoneTap hours address services reviews seo meta
58,Beasley Cleaners,dry cleaning,,http://beasleycleaners.com/,live,7,,,,beasley-cleaners,https://www.google.com/maps/search/?api=1&query=Beasley%20Cleaners%20San%20Diego%20CA,speed phoneTap hours address reviews cta social
58,Con Pane Rustic Breads and Cafe,bakery,,https://links.esri.com/sandiego/places/con_pane,live,5,,,San Diego,con-pane-rustic-breads-and-cafe,https://www.google.com/maps/search/?api=1&query=Con%20Pane%20Rustic%20Breads%20and%20Cafe%202750%20Dewey%20Road%20San%20Diego%20CA,speed phoneTap services reviews seo
58,SusieCakes,bakery,,https://susiecakes.com,live,6,,,San Diego,susiecakes,https://www.google.com/maps/search/?api=1&query=SusieCakes%203705%20Caminito%20Court%20San%20Diego%20CA,speed phoneTap hours address services social
