score,name,category,phone,website,status,gaps,rating,reviews,city,slug,verify_on_google,failing
69,The Shoppe,hairdresser,+1 414 224 1474,http://www.theshoppemke.com,live,9,,,Milwaukee,the-shoppe,https://www.google.com/maps/search/?api=1&query=The%20Shoppe%20155%20North%20Milwaukee%20Street%20Milwaukee%20CA,speed phoneTap hours address services reviews cta seo meta
69,Halo Hair Spa,hairdresser,+1 414 272 4256,https://halosalonmke.com/,live,9,,,Milwaukee,halo-hair-spa,https://www.google.com/maps/search/?api=1&query=Halo%20Hair%20Spa%201221%20East%20Brady%20Street%20Milwaukee%20WI,phoneTap hours address services reviews cta seo meta social
69,Futen Dojo,dojo,+1 414 736 9272,https://www.futendojo.com/,live,6,,,Milwaukee,futen-dojo,https://www.google.com/maps/search/?api=1&query=Futen%20Dojo%201338%20East%20Brady%20Street%20Milwaukee%20WI,speed hours reviews seo meta social
69,Retro Fitness,fitness centre,+1-877-291-4306,https://retrofitness.com/location/jaxbaymeadows/,live,9,,,Jacksonville,retro-fitness,https://www.google.com/maps/search/?api=1&query=Retro%20Fitness%209802-05%20Baymeadows%20Road%20Jacksonville%20FL,phoneTap hours address services reviews cta seo meta social
69,Founders 3 Real Estate Services,estate agent,+1 414 271 1111,https://founders3.com,live,9,,,,founders-3-real-estate-services,https://www.google.com/maps/search/?api=1&query=Founders%203%20Real%20Estate%20Services%20San%20Diego%20CA,phoneTap hours address services reviews cta seo meta social
69,Chic Nails,beauty,+1 414 439 5561,http://www.chicnailsmke.com/,live,9,,,Milwaukee,chic-nails,https://www.google.com/maps/search/?api=1&query=Chic%20Nails%202109%20North%20Prospect%20Avenue%20Milwaukee%20WI,phoneTap hours address services reviews cta seo meta social
69,Top Tiger Team Boxing,fitness centre,+1-704-998-1961,https://toptigerteamboxing.com/,live,7,,,Charlotte,top-tiger-team-boxing,https://www.google.com/maps/search/?api=1&query=Top%20Tiger%20Team%20Boxing%202417%20North%20Tryon%20Street%20Charlotte%20NC,phoneTap hours address cta seo meta social
69,Florida First Insurance Group,insurance,+1-904-374-3795,https://fl1stins.com/,live,7,,,Jacksonville,florida-first-insurance-group,https://www.google.com/maps/search/?api=1&query=Florida%20First%20Insurance%20Group%20263%20River%20Hills%20Drive%20Jacksonville%20FL,speed hours address services seo meta social
69,King's Head Hair Salon,hairdresser,+1 414 273 7980,https://kingshead.com,live,9,,,,king-s-head-hair-salon,https://www.google.com/maps/search/?api=1&query=King's%20Head%20Hair%20Salon%20San%20Diego%20CA,phoneTap hours address services reviews cta seo meta social
69,Great Jones,estate agent,+1-317-740-1657,https://www.greatjones.co/greater-indianapolis,live,8,,,Indianapolis,great-jones,https://www.google.com/maps/search/?api=1&query=Great%20Jones%2055%20Monument%20Circle%20Indianapolis%20IN,speed phoneTap hours address services reviews seo social
69,Great Jones,estate agent,+1-704-834-1048,https://www.greatjones.co/greater-charlotte,live,8,,,Charlotte,great-jones,https://www.google.com/maps/search/?api=1&query=Great%20Jones%201026%20Jay%20St%20Charlotte%20NC,speed phoneTap hours address services reviews seo social
69,Fusco Law Group,lawyer,+1-904-567-3113,https://fuscolaw.org/,live,9,,,Jacksonville,fusco-law-group,https://www.google.com/maps/search/?api=1&query=Fusco%20Law%20Group%20630%20West%20Adams%20Street%20Jacksonville%20FL,phoneTap hours address services reviews cta seo meta social
69,Community Roofing & Restoration,roofer,+1 414-332-1139,https://www.communityroofingandrestoration.com/,live,9,,,Milwaukee,community-roofing-and-restoration,https://www.google.com/maps/search/?api=1&query=Community%20Roofing%20%26%20Restoration%201776%20North%20Water%20Street%20Milwaukee%20WI,phoneTap hours address services reviews cta seo meta social
64,Grassmere Animal Hospital,veterinary,,https://www.grassmereanimalhospital.com/,live,8,,,,grassmere-animal-hospital,https://www.google.com/maps/search/?api=1&query=Grassmere%20Animal%20Hospital%203926%20Nolensville%20Pike%20San%20Diego%20CA,speed phoneTap address services reviews cta seo meta
64,LB&J CPAs,accountant,,https://www.lbjcpa.com/,live,9,,,,lb-and-j-cpas,https://www.google.com/maps/search/?api=1&query=LB%26J%20CPAs%20San%20Diego%20CA,phoneTap hours address services reviews cta seo meta social
63,Carriage Cleaners,dry cleaning,+1 414 277 1037,http://carriagecleaners.com,live,7,,,,carriage-cleaners,https://www.google.com/maps/search/?api=1&query=Carriage%20Cleaners%20San%20Diego%20CA,speed phoneTap hours address reviews cta social
63,Invivo Wellness,fitness centre,+1 414 265 5606,https://invivowellness.com/,live,8,,,Milwaukee,invivo-wellness,https://www.google.com/maps/search/?api=1&query=Invivo%20Wellness%202060%20North%20Humboldt%20Avenue%20Milwaukee%20WI,speed phoneTap hours address services reviews cta seo
63,Brew City Locksmith,locksmith,+1 414 350 7777,https://sites.google.com/site/brewcitylocksmith,live,8,,,,brew-city-locksmith,https://www.google.com/maps/search/?api=1&query=Brew%20City%20Locksmith%20San%20Diego%20CA,phoneTap hours address services reviews cta seo social
63,Archambeaus Salon,hairdresser,+1 414 272 1028,https://www.stephaniebarenz.com/,live,7,,,Milwaukee,archambeaus-salon,https://www.google.com/maps/search/?api=1&query=Archambeaus%20Salon%20419%20East%20Menomonee%20Street%20Milwaukee%20CA,speed phoneTap hours address reviews cta meta
63,ASCENT Gym,fitness centre,+1 414 350 6064,https://www.ascentforlife.org,live,8,,,,ascent-gym,https://www.google.com/maps/search/?api=1&query=ASCENT%20Gym%20San%20Diego%20CA,phoneTap hours address services reviews cta seo meta
63,The Centre For Exceptional Dentistry,dentist,+1 414 372 7374,http://www.centredentistry.com,live,4,,,Milwaukee,the-centre-for-exceptional-dentistry,https://www.google.com/maps/search/?api=1&query=The%20Centre%20For%20Exceptional%20Dentistry%201825%20North%20Doctor%20Martin%20Luther%20King%20Junior%20Drive%20Milwaukee%20CA,speed services meta social
63,Charles Schwab,bank,+1 414 319 5411,https://client.schwab.com/public/branchlocator/branchdetails.aspx?branchid=1125,live,5,,,,charles-schwab,https://www.google.com/maps/search/?api=1&query=Charles%20Schwab%20San%20Diego%20CA,speed hours reviews seo social
63,Top of the Line,hairdresser,+1 216 459 2887,https://www.topofthelinebarbers.com/,live,4,,,Cleveland,top-of-the-line,https://www.google.com/maps/search/?api=1&query=Top%20of%20the%20Line%204191%20Pearl%20Road%20Cleveland%20OH,speed reviews seo meta
63,SunSeekers by Rosie,beauty,+1 414 224 1400,https://sunseekerstan.com/,live,7,,,Milwaukee,sunseekers-by-rosie,https://www.google.com/maps/search/?api=1&query=SunSeekers%20by%20Rosie%202141%20North%20Prospect%20Avenue%20Milwaukee%20WI,phoneTap hours address services reviews seo meta
63,Law Office of Matthew J. Linn,lawyer,+1 414 273 5781,http://linn-law.com,live,8,,,Milwaukee,law-office-of-matthew-j-linn,https://www.google.com/maps/search/?api=1&query=Law%20Office%20of%20Matthew%20J.%20Linn%202327%20North%20Murray%20Avenue%20Milwaukee%20WI,phoneTap hours address services reviews cta seo meta
63,BrewCity CrossFit,fitness centre,+1 414 207 7851,http://www.brewcitycrossfit.com/,live,6,,,Milwaukee,brewcity-crossfit,https://www.google.com/maps/search/?api=1&query=BrewCity%20CrossFit%201539%20West%20Saint%20Paul%20Avenue%20Milwaukee%20WI,speed phoneTap hours services reviews meta
63,Silva Furniture,furniture,+1-980-585-1461,https://silvafurniture.com/,live,7,,,Charlotte,silva-furniture,https://www.google.com/maps/search/?api=1&query=Silva%20Furniture%204300%20Northlake%20Court%20Charlotte%20NC,speed phoneTap hours address services reviews seo
58,MinuteClinic,doctors,,https://www.cvs.com/minuteclinic/clinic-locator/wi/milwaukee/8763.html,live,3,,,,minuteclinic,https://www.google.com/maps/search/?api=1&query=MinuteClinic%20San%20Diego%20CA,speed phoneTap social
58,"Lindsay Foods, Inc.",butcher,,https://lindsayfoods.com/,live,7,,,Milwaukee,lindsay-foods-inc,https://www.google.com/maps/search/?api=1&query=Lindsay%20Foods%2C%20Inc.%202211%20West%20National%20Avenue%20Milwaukee%20WI,phoneTap hours address services reviews seo social
